Company,Address,Zip Code,City,Country,Type of Institution,Website,Name,Surname,Function,Email,Phone
GHG Sonnenhalde Tandem,N/A,9008,St. Gallen,Switzerland,HIEB,https://admin.heiminfo.ch,N/A,N/A,N/A,mailto:info@ghg-sonnenhalde-tandem.ch,tel: 0041712439090
Alterszentrum am Buechberg AG,N/A,5442,Fislisbach,Switzerland,HIALTER VAKA,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
gaw Gesellschaft für Arbeit und Wohnen,N/A,4052,Basel,Switzerland,HIEB,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Pflegewohngruppe Hausäcker,N/A,8048,Zürich,Switzerland,HIALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Alters- und Pflegeheim Hof Mollis,N/A,8753,Mollis,Switzerland,HIALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Stiftung VitaTertia,N/A,9200,Gossau SG,Switzerland,HIALTER CVSTGALLEN,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
KZU Kompetenzzentrum Pflege und Gesundheit,N/A,8185,Winkel,Switzerland,HIALTER CVZHALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Auhof,N/A,5106,Au-Veltheim,Switzerland,HIALTER VAKA,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
UFWIND,N/A,6206,Neuenkirch,Switzerland,HIKJ,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Wohnhaus Schörli,N/A,8050,Zürich,Switzerland,HIALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Pflege und Betreuung Schwarzenburgerland,N/A,3150,Schwarzenburg,Switzerland,HIALTER VBBABEMS WOHNEN60PLUS,https://admin.heiminfo.ch,N/A,N/A,N/A,mailto:monika.gerber@pbsl.ch,N/A
Gesundheitszentrum für das Alter Laubegg,N/A,8045,Zürich,Switzerland,HIALTER CVZHALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Verein Pro Communis,N/A,8707,Uetikon am See,Switzerland,HIALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Tertianum Le Bourg,N/A,1860,Aigle,Switzerland,HIALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Privat-Altersheim Perla-Park,N/A,8032,Zürich,Switzerland,HIALTER CVZHALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Residenz Am Schärme,N/A,6060,Sarnen,Switzerland,HIALTER CVZENTRALSCHWEIZBILDUNG,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Privates Seniorenzentrum SUNNMATT,N/A,8708,Männedorf,Switzerland,HIALTER CVZHALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Burgergut · Burgergemeinde Thun,N/A,3613,Steffisburg,Switzerland,HIALTER VBBABEMS WOHNEN60PLUS,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Stadt Winterthur - Alterszentrum Oberi,N/A,8404,Winterthur,Switzerland,HIALTER CVZHALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Tertianum Le Byron,N/A,1844,Villeneuve VD,Switzerland,HIALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
Convita Bethanien - Langzeitaufenthalt,N/A,8044,Zürich,Switzerland,HIALTER,https://admin.heiminfo.ch,N/A,N/A,N/A,N/A,N/A
